func,prob,total_time,best_obj,best_bound,gap,preprocess_time,solution_time,callback_time,subproblem_time,callback_calls,num_separations,bb_nodes,num_variables,num_constraints,dp_num_nodes,dp_num_arcs,dp_num_paths,dp_unique_arcs,dp_unique_paths
cg2_l20_w00_c400,mssp3-n100-d30-04,49.704222843503054,991.5001249999995,991.5001249999995,0.0,0.048543856,49.65567898750305,48.979731945000005,48.831063993000015,129,118,105,584,1638,402,520,146.0,519,144
cg2_l20_w00_c400,mssp3-n100-d30-05,14.210753760782348,634.4002000000003,634.4002000000003,0.0,0.052255712,14.158498048782349,13.529677237999996,13.474536093000001,53,47,173,584,1632,402,449,53.0,448,52
cg2_l20_w00_c400,mssp3-n120-d10-01,179.7027831715161,2236.7751550000007,2236.7751550000007,0.0,0.062634055,179.6401491165161,178.78509384300003,178.34153147799987,281,271,95,620,866,402,688,457.0,687,437
cg2_l20_w00_c400,mssp3-n120-d10-02,151.02829036559484,1767.5683454545472,1767.5683454545472,0.0,0.005412434,151.02287793159485,150.25576139499998,150.006914765,202,191,95,620,868,402,609,326.0,607,313
cg2_l20_w00_c400,mssp3-n120-d10-03,19.959128828755617,1638.5000999999997,1638.5000999999997,0.0,0.014574023,19.944554805755615,19.532243458999993,19.437836862000005,85,78,9,620,888,402,501,422.0,500,405
cg2_l20_w00_c400,mssp3-n120-d10-04,84.35613754694495,1711.4002000000016,1711.4002000000014,0.0,0.005797419,84.35034012794495,83.84788665600004,83.66521323799999,143,133,64,620,851,402,543,266.0,541,225
cg2_l20_w00_c400,mssp3-n120-d10-05,103.65784614664233,1764.2130930555552,1764.2130930555552,0.0,0.006939107,103.65090703964233,103.161938764,102.91841606599996,120,114,29,620,808,402,523,162.0,522,158
cg2_l20_w00_c400,mssp3-n120-d15-01,91.57541123561975,1431.0501818181813,1431.0501818181813,0.0,0.063833391,91.51157784461975,90.53692433399999,90.35725491100004,165,154,216,620,1203,402,563,183.0,563,183
cg2_l20_w00_c400,mssp3-n120-d15-02,108.11731278931605,1554.4001000000007,1554.4001000000007,0.0,0.006329656,108.11098313331604,107.24014388599998,106.93908032299997,201,189,124,620,1240,402,601,234.0,597,230
cg2_l20_w00_c400,mssp3-n120-d15-03,53.12218450564294,1375.2834833333343,1375.2834833333343,0.0,0.007524481,53.114660024642944,52.414557309,52.30526400000003,104,98,116,620,1254,402,501,127.0,501,127
